date,id
2001-05-07 18:28:05,10000
2001-05-27 19:24:40,20000
2001-06-12 18:38:02,30000
2001-06-27 14:41:03,40000
2001-07-16 10:24:44,50000
2001-08-01 22:05:23,60000
2001-08-26 21:37:03,70000
2001-09-13 00:05:41,80000
2001-09-28 16:33:12,90000
2001-10-26 05:26:16,110000
2001-11-08 01:14:10,120000
2001-11-20 18:54:01,130000
2001-12-01 16:06:34,140000
2001-12-14 23:33:48,150000
2001-12-26 19:59:54,160000
2002-01-08 06:13:40,170000
2002-01-20 02:39:56,180000
2002-01-30 02:37:33,190000
2002-02-13 03:12:16,200000
2002-02-23 04:16:55,210000
2002-03-05 14:07:55,220000
2002-03-13 23:08:50,230000
2002-03-23 22:44:06,240000
2002-04-02 16:54:51,250000
2002-04-22 19:18:55,270000
2002-05-03 00:33:21,280000
2002-05-12 23:35:54,290000
2002-05-22 14:49:03,300000
2002-05-30 20:42:24,310000
2002-06-08 15:59:09,320000
2002-06-24 23:03:49,340000
2002-07-05 15:05:05,350000
2002-07-18 19:15:50,360000
2002-08-08 00:18:07,370000
2002-09-10 22:52:36,390000
2002-09-21 16:34:43,400000
2002-09-30 18:45:32,410000
2002-10-08 21:17:58,420000
2002-10-23 15:20:13,440000
2002-10-30 15:49:28,450000
2002-11-08 17:00:28,460000
2002-11-15 21:34:26,470000
2002-11-22 21:36:41,480000
2002-12-02 03:09:39,490000
2002-12-14 05:07:19,500000
2002-12-23 15:18:03,510000
2003-01-01 01:09:14,520000
2003-01-08 18:42:53,530000
2003-02-11 21:31:15,570000
2003-02-19 19:19:26,580000
2003-02-26 21:53:45,590000
2003-03-04 17:40:33,600000
2003-03-10 21:26:13,610000
2003-03-16 01:22:07,620000
2003-03-21 01:44:46,630000
2003-03-26 21:01:43,640000
2003-04-01 04:03:48,650000
2003-04-07 05:39:54,660000
2003-04-13 10:14:09,670000
2003-04-27 18:57:15,700000
2003-05-02 23:55:32,710000
2003-05-08 18:39:35,720000
2003-05-14 02:34:26,730000
2003-05-18 00:52:36,740000
2003-05-21 22:43:13,750000
2003-05-25 15:09:07,760000
2003-05-29 00:46:34,770000
2003-06-01 20:12:44,780000
2003-06-04 23:31:11,790000
2003-06-08 13:55:02,800000
2003-06-12 03:20:24,810000
2003-06-16 17:08:20,820000
2003-06-20 19:12:58,830000
2003-06-24 19:56:35,840000
2003-06-29 22:50:25,850000
2003-07-06 00:02:30,860000
2003-07-13 20:55:03,870000
2003-07-29 21:00:13,890000
2003-08-19 18:14:58,910000
2003-08-26 16:36:49,920000
2003-09-02 10:28:25,930000
2003-09-09 01:03:31,940000
2003-09-14 23:57:51,950000
2003-09-20 18:00:17,960000
2003-09-25 16:13:55,970000
2003-09-30 13:32:22,980000
2003-10-09 00:22:34,1000000
2003-10-13 16:45:24,1010000
2003-10-17 05:59:57,1020000
2003-10-21 16:28:48,1030000
2003-10-24 21:51:19,1040000
2003-10-29 01:34:53,1050000
2003-11-01 22:23:57,1060000
2003-11-06 12:34:19,1070000
2003-11-10 23:29:37,1080000
2003-11-14 19:07:01,1090000
2003-11-19 14:13:39,1100000
2003-11-23 15:29:50,1110000
2003-11-27 17:02:49,1120000
2003-12-01 15:23:17,1130000
2003-12-05 07:53:27,1140000
2003-12-08 19:52:22,1150000
2003-12-11 23:57:50,1160000
2003-12-15 17:19:19,1170000
2003-12-19 10:24:00,1180000
2003-12-23 19:12:18,1190000
2003-12-27 22:17:16,1200000
2004-01-01 01:04:47,1210000
2004-01-05 01:20:53,1220000
2004-01-08 01:40:31,1230000
2004-01-12 21:47:20,1240000
2004-01-16 17:53:01,1250000
2004-01-20 15:02:55,1260000
2004-01-24 10:40:16,1270000
2004-01-29 15:43:04,1280000
2004-02-04 18:45:21,1290000
2004-02-10 12:52:24,1300000
2004-02-14 23:43:54,1310000
2004-02-19 19:23:30,1320000
2004-02-24 02:19:42,1330000
2004-02-28 03:02:43,1340000
2004-03-03 04:16:17,1350000
2004-03-07 14:21:44,1360000
2004-03-11 16:54:47,1370000
2004-03-14 21:39:56,1380000
2004-03-18 19:50:13,1390000
2004-03-22 14:39:26,1400000
2004-03-26 22:58:17,1410000
2004-03-30 23:03:23,1420000
2004-04-03 17:49:53,1430000
2004-04-07 17:33:23,1440000
2004-04-11 01:14:06,1450000
2004-04-15 13:25:28,1460000
2004-04-20 01:40:33,1470000
2004-04-24 15:01:59,1480000
2004-04-29 15:53:51,1490000
2004-05-05 04:21:54,1500000
2004-05-09 21:02:39,1510000
2004-05-14 17:22:34,1520000
2004-05-19 18:43:21,1530000
2004-05-24 21:39:41,1540000
2004-05-30 02:35:25,1550000
2004-06-04 16:25:59,1560000
2004-06-11 08:58:37,1570000
2004-06-17 02:12:20,1580000
2004-06-24 03:45:23,1590000
2004-06-29 23:43:45,1600000
2004-07-07 13:12:52,1610000
2004-07-14 00:11:29,1620000
2004-07-20 19:34:54,1630000
2004-08-01 02:00:21,1640000
2004-08-14 02:17:15,1650000
2004-08-27 18:21:34,1660000
2004-09-06 11:45:18,1670000
2004-09-17 08:29:35,1680000
2004-09-25 13:09:59,1690000
2004-10-04 22:13:52,1700000
2004-10-13 00:55:43,1710000
2004-10-21 11:41:59,1720000
2004-10-30 23:33:51,1730000
2004-11-20 18:13:55,1750000
2004-11-28 04:42:09,1760000
2004-12-06 03:13:00,1770000
2004-12-13 05:58:27,1780000
2004-12-20 02:26:08,1790000
2004-12-26 04:33:01,1800000
2004-12-31 22:05:45,1810000
2005-01-06 03:28:54,1820000
2005-01-09 22:35:59,1830000
